2026-03-20 22:18:55 | INFO     | analysis.inventory | Inventory: turnover=1.71x  DIO=213.7d
2026-03-20 22:18:55 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:18:55 | INFO     | analysis.breakeven | Break-even: BEU=1,586  MoS=92.10%
2026-03-20 22:18:55 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:18:55 | INFO     | analysis.expenses | Expenses: OpEx%=8.23
2026-03-20 22:18:55 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:18:55 | INFO     | analysis.monthly_growth | Monthly growth computed.
2026-03-20 22:18:55 | INFO     | analysis.cashflow | Monthly cashflow: NetCashMovement=23,427,860
2026-03-20 22:18:55 | INFO     | analysis.products | Product metrics computed.
2026-03-20 22:29:01 | INFO     | main | Nepal Ecommerce BI API started.
2026-03-20 22:29:01 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:29:01 | INFO     | main | Loaded analysis data from SQLite.
2026-03-20 22:29:03 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:29:03 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:29:03 | INFO     | analysis.profitability | Profitability: NetProfit=5,573,644  GPM=18.75%
2026-03-20 22:29:03 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:29:03 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:29:03 | INFO     | analysis.inventory | Inventory: turnover=1.71x  DIO=213.7d
2026-03-20 22:29:03 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:29:03 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:29:03 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:29:03 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:29:03 | INFO     | analysis.expenses | Expenses: OpEx%=8.23
2026-03-20 22:29:03 | INFO     | analysis.discounts | Discounts: 2.87% of gross revenue
2026-03-20 22:29:03 | INFO     | analysis.breakeven | Break-even: BEU=1,586  MoS=92.10%
2026-03-20 22:29:03 | INFO     | analysis.monthly_growth | Monthly growth computed.
2026-03-20 22:29:03 | INFO     | analysis.products | Product metrics computed.
2026-03-20 22:29:03 | INFO     | analysis.cashflow | Monthly cashflow: NetCashMovement=23,427,860
2026-03-20 22:29:16 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:29:16 | INFO     | analysis.profitability | Profitability: NetProfit=5,573,644  GPM=18.75%
2026-03-20 22:29:16 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:29:16 | INFO     | analysis.discounts | Discounts: 2.87% of gross revenue
2026-03-20 22:29:16 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:29:16 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:29:16 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:29:16 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:29:16 | INFO     | analysis.inventory | Inventory: turnover=1.71x  DIO=213.7d
2026-03-20 22:29:16 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:29:16 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=54,584,951  NetRevenue=53,019,062
2026-03-20 22:29:16 | INFO     | analysis.breakeven | Break-even: BEU=1,586  MoS=92.10%
2026-03-20 22:29:16 | INFO     | analysis.expenses | Expenses: OpEx%=8.23
2026-03-20 22:29:16 | INFO     | analysis.monthly_growth | Monthly growth computed.
2026-03-20 22:29:16 | INFO     | analysis.products | Product metrics computed.
2026-03-20 22:29:16 | INFO     | analysis.cashflow | Monthly cashflow: NetCashMovement=23,427,860
2026-03-20 22:29:21 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=3,285,584  NetRevenue=3,221,421
2026-03-20 22:29:21 | INFO     | analysis.profitability | Profitability: NetProfit=-713,039  GPM=-12.03%
2026-03-20 22:29:21 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=3,285,584  NetRevenue=3,221,421
2026-03-20 22:29:21 | INFO     | analysis.discounts | Discounts: 1.95% of gross revenue
2026-03-20 22:29:21 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=3,285,584  NetRevenue=3,221,421
